condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
base,4,A06_copy,69917,0.2795427648413511,419502,0.2795427648413511,0.2800372519400079,atomic,copy,1.0,0.1532282552757172,0.2800372519400079,-0.0004944870986567929,250000
base,4,A07_reverse,16309,0.06520678735926305,97854,0.06520678735926305,0.065320998729833,atomic,reverse,2.0,0.1985323344506372,0.065320998729833,-0.00011421137056995267,250000
base,4,C00_reverse_then_substitute_04_03,3992,0.015960849539406345,23952,0.015960849539406345,0.0163049692906072,composite,reverse_then_substitute,3.0,0.0,0.0163049692906072,-0.00034411975120085536,250000
base,4,C01_substitute_then_reverse_04_06,8963,0.0358359454964176,53778,0.0358359454964176,0.0362963425666403,composite,substitute_then_reverse,3.0,0.0,0.0362963425666403,-0.000460397070222697,250000
base,4,C02_copy_then_substitute_06_04,5665,0.02264985286591607,33990,0.02264985286591607,0.0225815364361807,composite,copy_then_substitute,3.0,0.0,0.0225815364361807,6.831642973537111e-05,250000
base,4,C03_reverse_then_substitute_07_02,5186,0.020734710849539408,31116,0.020734710849539408,0.0206098816944667,composite,reverse_then_substitute,3.0,0.0,0.0206098816944667,0.00012482915507270806,250000
base,4,C04_substitute_then_reverse_03_06,13105,0.05239652635619243,78630,0.05239652635619243,0.0516770010672922,composite,substitute_then_reverse,3.0,0.0,0.0516770010672922,0.0007195252889002288,250000
base,4,C05_copy_then_substitute_06_07,10754,0.042996737461617196,64524,0.042996737461617196,0.0426733752056038,composite,copy_then_substitute,3.0,0.0,0.0426733752056038,0.00032336225601339863,250000
base,4,C06_reverse_then_substitute_05_07,33879,0.13545531601842375,203274,0.13545531601842375,0.1352490775505666,composite,reverse_then_substitute,3.0,0.0,0.1352490775505666,0.00020623846785716715,250000
base,4,C07_substitute_then_reverse_01_04,6239,0.0249448247185261,37434,0.0249448247185261,0.0249583463503928,composite,substitute_then_reverse,3.0,0.0,0.0249583463503928,-1.3521631866700301e-05,250000
base,4,K00_shortcut_for_A02_substitute,4442,0.01776004350051177,26652,0.01776004350051177,0.0175299779461095,shortcut,shortcut_identity,1.0,0.0,0.0175299779461095,0.00023006555440227214,250000
base,4,K01_shortcut_for_A05_substitute,3831,0.015317137922210849,22986,0.015317137922210849,0.015236661713767,shortcut,shortcut_identity,1.0,0.0,0.015236661713767,8.047620844384845e-05,250000
base,4,K02_shortcut_for_A03_copy,6906,0.027611629989764585,41436,0.027611629989764585,0.0278779716606898,shortcut,shortcut_identity,1.0,0.0,0.0278779716606898,-0.0002663416709252145,250000
base,4,S00_surface_rotate,22069,0.08823647006141248,132414,0.08823647006141248,0.088356497064568,surface_control,surface_rotate,2.0,0.0,0.088356497064568,-0.00012002700315551229,250000
base,4,S01_surface_rotate,3316,0.013258060388945753,19896,0.013258060388945753,0.0134641728018988,surface_control,surface_rotate,2.0,0.0,0.0134641728018988,-0.0002061124129530481,250000
base,4,S02_surface_rotate,3608,0.01442553735926305,21648,0.01442553735926305,0.0142969842826973,surface_control,surface_rotate,2.0,0.0,0.0142969842826973,0.00012855307656575027,250000
base,4,U00_unrelated_substitute,2518,0.010067489764585465,15108,0.010067489764585465,0.0099539167317642,unrelated,substitute,1.5,0.0,0.0099539167317642,0.0001135730328212653,250000
base,4,U01_unrelated_substitute,3172,0.012682318321392017,19032,0.012682318321392017,0.0120540867248666,unrelated,substitute,1.5,0.0,0.0120540867248666,0.0006282315965254175,250000
base,4,U02_unrelated_substitute,2698,0.010787167349027635,16188,0.010787167349027635,0.0109061632033235,unrelated,substitute,1.5,0.0,0.0109061632033235,-0.00011899585429586516,250000
batch_large,0,A00_copy,2922,0.01167082055214724,17532,0.01167082055214724,0.0114521109717608,atomic,copy,1.0,0.0,0.0114521109717608,0.00021870958038643952,250000
