condition,seed,data_seen,task_i,task_j,linear_cka,checkpoint_fraction
baseline,0,100352,P06_parity_d3_14_20_35,P14_parity_d3_3_23_24,0.995893120765686,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P15_parity_d5_7_24_30_32_33,0.9958163499832153,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P16_parity_d5_3_18_23_29_37,0.9963763952255249,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P17_parity_d5_1_7_16_18_37,0.9949846267700195,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P18_parity_d5_0_17_30_32_34,0.9961417317390442,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P19_parity_d5_2_8_11_16_29,0.9963862299919128,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P20_parity_d3_4_7_35,0.9862619042396545,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P21_parity_d5_25_34_36_37_39,0.9961557984352112,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P22_parity_d5_5_14_30_35_36,0.9947258234024048,1.00352
baseline,0,100352,P06_parity_d3_14_20_35,P23_parity_d5_8_13_18_30_39,0.9968479871749878,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P00_parity_d3_1_15_16,0.9967643618583679,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P01_parity_d3_0_21_26,0.9559515118598938,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P02_parity_d5_14_17_22_28_39,0.997241735458374,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P03_parity_d3_25_33_36,0.9933911561965942,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P04_parity_d5_5_14_22_28_32,0.9959974884986877,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P05_parity_d3_16_18_28,0.9972984194755554,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P06_parity_d3_14_20_35,0.9970934391021729,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P07_parity_d3_9_12_28,1.0,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P08_parity_d5_12_14_28_35_38,0.9964436888694763,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P09_parity_d5_1_3_14_16_32,0.9950881600379944,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P10_parity_d3_2_3_33,0.9970712661743164,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P11_parity_d3_5_21_34,0.9950696229934692,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P12_parity_d3_9_27_30,0.9973265528678894,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P13_parity_d3_15_21_39,0.9955578446388245,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P14_parity_d3_3_23_24,0.9950392842292786,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P15_parity_d5_7_24_30_32_33,0.9966833591461182,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P16_parity_d5_3_18_23_29_37,0.9967808127403259,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P17_parity_d5_1_7_16_18_37,0.9959156513214111,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P18_parity_d5_0_17_30_32_34,0.9963536858558655,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P19_parity_d5_2_8_11_16_29,0.9964490532875061,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P20_parity_d3_4_7_35,0.9852094054222107,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P21_parity_d5_25_34_36_37_39,0.9960797429084778,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P22_parity_d5_5_14_30_35_36,0.9942072033882141,1.00352
baseline,0,100352,P07_parity_d3_9_12_28,P23_parity_d5_8_13_18_30_39,0.9960166215896606,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P00_parity_d3_1_15_16,0.9960597157478333,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P01_parity_d3_0_21_26,0.9622492790222168,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P02_parity_d5_14_17_22_28_39,0.997395396232605,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P03_parity_d3_25_33_36,0.9949964284896851,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P04_parity_d5_5_14_22_28_32,0.9967380166053772,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P05_parity_d3_16_18_28,0.9959036111831665,1.00352
baseline,0,100352,P08_parity_d5_12_14_28_35_38,P06_parity_d3_14_20_35,0.9968264698982239,1.00352
