condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A07_and_bits_46_35,S03_surface_xor_42_12,0.3091556131839752
baseline,0,120320,A07_and_bits_46_35,U00_or_bits_6_36,0.09236086905002594
baseline,0,120320,A07_and_bits_46_35,U01_eq2_22_31,0.3401082754135132
baseline,0,120320,A07_and_bits_46_35,U02_eq2_21_40,0.43331587314605713
baseline,0,120320,A07_and_bits_46_35,U03_and_bits_13_21,0.1752547025680542
baseline,0,120320,A08_and_bits_44_34,A00_not_bit_1,0.1531277447938919
baseline,0,120320,A08_and_bits_44_34,A01_xor2_39_25,0.5029359459877014
baseline,0,120320,A08_and_bits_44_34,A02_eq2_5_15,0.5002965331077576
baseline,0,120320,A08_and_bits_44_34,A03_xor2_6_45,0.5172019600868225
baseline,0,120320,A08_and_bits_44_34,A04_eq2_24_18,0.5145139098167419
baseline,0,120320,A08_and_bits_44_34,A05_not_bit_2,0.2540993094444275
baseline,0,120320,A08_and_bits_44_34,A06_not_bit_13,0.05589664727449417
baseline,0,120320,A08_and_bits_44_34,A07_and_bits_46_35,0.5931720733642578
baseline,0,120320,A08_and_bits_44_34,A08_and_bits_44_34,1.0
baseline,0,120320,A08_and_bits_44_34,A09_xor2_46_15,0.5509699583053589
baseline,0,120320,A08_and_bits_44_34,A10_bit_24,0.06189810857176781
baseline,0,120320,A08_and_bits_44_34,A11_xor2_37_21,0.4654715657234192
baseline,0,120320,A08_and_bits_44_34,C00_or_02_00,0.14636389911174774
baseline,0,120320,A08_and_bits_44_34,C01_or_07_09,0.6363484263420105
baseline,0,120320,A08_and_bits_44_34,C02_and_07_08,0.7959263920783997
baseline,0,120320,A08_and_bits_44_34,C03_and_00_05,0.3693661689758301
baseline,0,120320,A08_and_bits_44_34,C04_or_07_00,0.22358480095863342
baseline,0,120320,A08_and_bits_44_34,C05_and_11_09,0.6642274260520935
baseline,0,120320,A08_and_bits_44_34,C06_or_02_07,0.5514903664588928
baseline,0,120320,A08_and_bits_44_34,C07_or_09_00,0.18206092715263367
baseline,0,120320,A08_and_bits_44_34,C08_or_04_03,0.2730516791343689
baseline,0,120320,A08_and_bits_44_34,C09_or_00_05,0.18848197162151337
baseline,0,120320,A08_and_bits_44_34,K00_shortcut_for_05_bit0,0.34426090121269226
baseline,0,120320,A08_and_bits_44_34,K01_shortcut_for_07_bit36,0.08188771456480026
baseline,0,120320,A08_and_bits_44_34,K02_shortcut_for_07_bit18,0.28035151958465576
baseline,0,120320,A08_and_bits_44_34,K03_shortcut_for_09_bit15,0.193200945854187
baseline,0,120320,A08_and_bits_44_34,S00_surface_xor_12_29,0.5137652158737183
baseline,0,120320,A08_and_bits_44_34,S01_surface_xor_41_9,0.5814032554626465
baseline,0,120320,A08_and_bits_44_34,S02_surface_xor_7_46,0.5511384606361389
baseline,0,120320,A08_and_bits_44_34,S03_surface_xor_42_12,0.40915948152542114
baseline,0,120320,A08_and_bits_44_34,U00_or_bits_6_36,0.10534888505935669
baseline,0,120320,A08_and_bits_44_34,U01_eq2_22_31,0.5352150201797485
baseline,0,120320,A08_and_bits_44_34,U02_eq2_21_40,0.5274432301521301
baseline,0,120320,A08_and_bits_44_34,U03_and_bits_13_21,0.3208758533000946
baseline,0,120320,A09_xor2_46_15,A00_not_bit_1,0.08406414836645126
baseline,0,120320,A09_xor2_46_15,A01_xor2_39_25,0.7316417098045349
baseline,0,120320,A09_xor2_46_15,A02_eq2_5_15,0.7074404954910278
baseline,0,120320,A09_xor2_46_15,A03_xor2_6_45,0.6788765788078308
baseline,0,120320,A09_xor2_46_15,A04_eq2_24_18,0.7888421416282654
baseline,0,120320,A09_xor2_46_15,A05_not_bit_2,0.3007974922657013
baseline,0,120320,A09_xor2_46_15,A06_not_bit_13,0.07601585984230042
baseline,0,120320,A09_xor2_46_15,A07_and_bits_46_35,0.3226272463798523
baseline,0,120320,A09_xor2_46_15,A08_and_bits_44_34,0.5509698390960693
baseline,0,120320,A09_xor2_46_15,A09_xor2_46_15,1.0
baseline,0,120320,A09_xor2_46_15,A10_bit_24,0.11120757460594177
baseline,0,120320,A09_xor2_46_15,A11_xor2_37_21,0.796158492565155
