condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
upweight_fake_component,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5172685328871012,0.76123046875,0.5172685328871012
upweight_fake_component,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.6064934581518173,0.8671875,0.6064934581518173
upweight_fake_component,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.5639449506998062,0.74267578125,0.5639449506998062
upweight_fake_component,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5068187974393368,0.7158203125,0.5068187974393368
upweight_fake_component,0,K00_shortcut_for_05_bit18,shortcut,,0.9,2,balanced_accuracy,0.6214482486248016,0.62060546875,0.6214482486248016
upweight_fake_component,0,K01_shortcut_for_02_bit46,shortcut,64000.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_fake_component,0,K02_shortcut_for_02_bit12,shortcut,,0.9,2,balanced_accuracy,0.8552511930465698,0.85498046875,0.8552511930465698
upweight_fake_component,0,K03_shortcut_for_09_bit29,shortcut,50176.0,0.9,2,balanced_accuracy,0.99951171875,0.99951171875,0.99951171875
upweight_fake_component,0,S00_surface_xor_13_2,surface_control,,0.9,2,balanced_accuracy,0.5296090394258499,0.52880859375,0.5296090394258499
upweight_fake_component,0,S01_surface_xor_9_46,surface_control,,0.9,2,balanced_accuracy,0.49492470920085907,0.49072265625,0.49492470920085907
upweight_fake_component,0,S02_surface_xor_8_39,surface_control,,0.9,2,balanced_accuracy,0.5274979770183563,0.52783203125,0.5274979770183563
upweight_fake_component,0,S03_surface_xor_21_47,surface_control,,0.9,2,balanced_accuracy,0.5359198600053787,0.5322265625,0.5359198600053787
upweight_fake_component,0,U00_xor2_12_37,unrelated,,0.9,2,balanced_accuracy,0.6527298092842102,0.65380859375,0.6527298092842102
upweight_fake_component,0,U01_or_bits_46_28,unrelated,,0.9,2,balanced_accuracy,0.7967325150966644,0.78662109375,0.7967325150966644
upweight_fake_component,0,U02_xor2_1_29,unrelated,,0.9,2,balanced_accuracy,0.5357418656349182,0.53662109375,0.5357418656349182
upweight_fake_component,0,U03_and_bits_37_42,unrelated,,0.9,2,balanced_accuracy,0.5823567807674408,0.78369140625,0.5823567807674408
upweight_surface_control,0,A00_xor2_12_26,atomic,,0.9,2,balanced_accuracy,0.5575347393751144,0.5576171875,0.5575347393751144
upweight_surface_control,0,A01_and_bits_31_32,atomic,,0.9,2,balanced_accuracy,0.7077525407075882,0.8310546875,0.7077525407075882
upweight_surface_control,0,A02_or_bits_19_44,atomic,,0.9,2,balanced_accuracy,0.8342044353485107,0.90966796875,0.8342044353485107
upweight_surface_control,0,A03_xor2_18_17,atomic,,0.9,2,balanced_accuracy,0.5220556557178497,0.52197265625,0.5220556557178497
upweight_surface_control,0,A04_bit_8,atomic,94208.0,0.9,2,balanced_accuracy,0.9767782092094421,0.97607421875,0.9767782092094421
upweight_surface_control,0,A05_not_bit_33,atomic,58368.0,0.9,2,balanced_accuracy,0.9995164573192596,0.99951171875,0.9995164573192596
upweight_surface_control,0,A06_or_bits_46_41,atomic,82432.0,0.9,2,balanced_accuracy,0.9980988502502441,0.9990234375,0.9980988502502441
upweight_surface_control,0,A07_bit_10,atomic,80384.0,0.9,2,balanced_accuracy,0.9985576868057251,0.99853515625,0.9985576868057251
upweight_surface_control,0,A08_bit_22,atomic,,0.9,2,balanced_accuracy,0.7999127507209778,0.79736328125,0.7999127507209778
upweight_surface_control,0,A09_xor2_22_5,atomic,,0.9,2,balanced_accuracy,0.5858980119228363,0.5859375,0.5858980119228363
upweight_surface_control,0,A10_xor2_9_25,atomic,,0.9,2,balanced_accuracy,0.5982373356819153,0.59521484375,0.5982373356819153
upweight_surface_control,0,A11_eq2_30_27,atomic,,0.9,2,balanced_accuracy,0.5135628581047058,0.51220703125,0.5135628581047058
upweight_surface_control,0,C00_and_02_06,composite,,0.9,2,balanced_accuracy,0.8225590586662292,0.83642578125,0.8225590586662292
upweight_surface_control,0,C01_and_00_09,composite,,0.9,2,balanced_accuracy,0.5294893868267536,0.7529296875,0.5294893868267536
upweight_surface_control,0,C02_and_05_06,composite,80384.0,0.9,2,balanced_accuracy,0.9683901071548462,0.96826171875,0.9683901071548462
upweight_surface_control,0,C03_and_10_08,composite,,0.9,2,balanced_accuracy,0.6240317225456238,0.79296875,0.6240317225456238
upweight_surface_control,0,C04_or_05_10,composite,,0.9,2,balanced_accuracy,0.6955193132162094,0.8095703125,0.6955193132162094
upweight_surface_control,0,C05_and_07_05,composite,110080.0,0.9,2,balanced_accuracy,0.9061001539230347,0.953125,0.9061001539230347
upweight_surface_control,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5611225664615631,0.763671875,0.5611225664615631
upweight_surface_control,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.5201923586428165,0.8798828125,0.5201923586428165
upweight_surface_control,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.5665658563375473,0.74560546875,0.5665658563375473
upweight_surface_control,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5040457993745804,0.72900390625,0.5040457993745804
