model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-160m,arith_sub_small,mean_correct_margin,-0.4227780103683471,-1.7496977001428604,-1.3269196897745132,-0.9953453429043293,-0.4227780103683471,-1.7496977001428604,4,atomic,arithmetic,arithmetic,subtraction,1,0.75,0.35,0.5,1.0,,,usable_or_near_usable
EleutherAI/pythia-160m,comp_add_then_compare,mean_correct_margin,-0.4474414885044098,-2.042588245123625,-1.595146756619215,-1.0945894559845328,-0.4474414885044098,-2.042588245123625,4,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_add_then_even,mean_correct_margin,-0.4330038130283355,-1.79151819832623,-1.3585143852978945,-1.0014137704856694,-0.4330038130283355,-1.79151819832623,4,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,usable_or_near_usable
EleutherAI/pythia-160m,comp_first_then_same,mean_correct_margin,-0.5713594555854797,-1.5575752072036266,-0.9862157516181469,-0.8746330495923758,-0.5690778531134129,-1.5575752072036266,4,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,usable_or_near_usable
EleutherAI/pythia-160m,comp_max_then_compare,mean_correct_margin,-0.5200926810503006,-1.4848986007273195,-0.9648059196770189,-0.8185003492981195,-0.5200926810503006,-1.4848986007273195,4,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_retrieve_then_color,mean_correct_margin,-0.7156748175621033,-1.4423217680305245,-0.7266469504684212,-1.1106005311012268,-0.7156748175621033,-1.4423217680305245,4,composite,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,usable_or_near_usable
EleutherAI/pythia-160m,comp_retrieve_then_compare,mean_correct_margin,-0.3171221166849136,-1.4105243645608423,-1.0934022478759287,-0.7993097500875591,-0.3171221166849136,-1.4105243645608423,4,composite,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_first,mean_correct_margin,-0.4907413274049759,-0.8758258670568466,-0.3850845396518707,-0.6795922545716166,-0.4907413274049759,-0.8758258670568466,4,composite,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_last,mean_correct_margin,-0.5807980298995972,-1.0274410247802734,-0.44664299488067627,-0.737920924089849,-0.5723569691181183,-1.0274410247802734,4,composite,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_same,mean_correct_margin,-0.553819477558136,-0.9636907652020454,-0.40987128764390945,-0.7244816375896335,-0.553819477558136,-0.9636907652020454,4,composite,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,usable_or_near_usable
EleutherAI/pythia-160m,comp_sub_then_compare,mean_correct_margin,-0.4209509789943695,-1.9588823169469836,-1.537931337952614,-1.0578176388517022,-0.4209509789943695,-1.9588823169469836,4,composite,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_number_surface,mean_correct_margin,-0.4854274690151214,-1.5636224634945393,-1.0781949944794178,-1.19742729421705,-0.4854274690151214,-1.5636224634945393,4,surface_control,surface,surface,number_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_retrieval_surface,mean_correct_margin,-0.6223344057798386,-1.333538088016212,-0.7112036822363734,-0.869563669199124,-0.6223344057798386,-1.333538088016212,4,surface_control,surface,surface,retrieval_surface,1,0.45,0.35,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_word_surface,mean_correct_margin,-0.3963618874549866,-1.2043066248297691,-0.8079447373747826,-0.9072690289467573,-0.3963618874549866,-1.2043066248297691,4,surface_control,surface,surface,word_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
