model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
freq_learn,1,0.4842890516598728,9,3,"log_frequency,reference_learnability",2,dependency_gated,0
freq_learn,2,1.1268373038172195,10,2,"log_frequency,reference_learnability",2,dependency_gated,0
freq_learn,3,0.26622390801270235,10,2,"log_frequency,reference_learnability",2,dependency_gated,0
freq_learn,4,0.01267928445002064,10,2,"log_frequency,reference_learnability",2,dependency_gated,0
three_factor,0,1.9604541163666234,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,0
three_factor,1,0.12067758664349719,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,0
three_factor,2,0.5887524818756789,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,0
three_factor,3,0.38447699792097884,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,0
three_factor,4,0.6216709804133893,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,0
frequency_only,0,0.4935196809481397,9,3,log_frequency,1,dependency_gated,1
frequency_only,1,1.034611589518756,9,3,log_frequency,1,dependency_gated,1
frequency_only,2,6.080097343681705,10,2,log_frequency,1,dependency_gated,1
frequency_only,3,2.5777558180733227,10,2,log_frequency,1,dependency_gated,1
frequency_only,4,0.29734271271303103,10,2,log_frequency,1,dependency_gated,1
learnability_only,0,0.4439335029597112,9,3,reference_learnability,1,dependency_gated,1
learnability_only,1,0.7174916493044443,9,3,reference_learnability,1,dependency_gated,1
learnability_only,2,0.8451074754024521,10,2,reference_learnability,1,dependency_gated,1
learnability_only,3,1.7936381022115913,10,2,reference_learnability,1,dependency_gated,1
learnability_only,4,0.6133745563753967,10,2,reference_learnability,1,dependency_gated,1
freq_learn,0,0.4437049371295066,9,3,"log_frequency,reference_learnability",2,dependency_gated,1
freq_learn,1,0.7591243684389845,9,3,"log_frequency,reference_learnability",2,dependency_gated,1
freq_learn,2,4.950026255945388,10,2,"log_frequency,reference_learnability",2,dependency_gated,1
freq_learn,3,2.246418478645781,10,2,"log_frequency,reference_learnability",2,dependency_gated,1
freq_learn,4,0.6668232335381311,10,2,"log_frequency,reference_learnability",2,dependency_gated,1
three_factor,0,0.19080721076709392,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,1
three_factor,1,1.2083606952229857,9,3,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,1
three_factor,2,5.208738648149421,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,1
three_factor,3,1.8091808063191648,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,1
three_factor,4,0.27930277456297153,10,2,"log_frequency,reference_learnability,formal_utility",3,dependency_gated,1
frequency_only,0,0.3992198844016354,9,3,log_frequency,1,dependency_gated,2
frequency_only,1,2.9093173234741148,9,3,log_frequency,1,dependency_gated,2
frequency_only,2,0.3448649766471951,10,2,log_frequency,1,dependency_gated,2
frequency_only,3,1.9738350536888016,10,2,log_frequency,1,dependency_gated,2
frequency_only,4,0.5739231239499194,10,2,log_frequency,1,dependency_gated,2
learnability_only,0,0.5120480483862513,9,3,reference_learnability,1,dependency_gated,2
learnability_only,1,0.5009484854264964,9,3,reference_learnability,1,dependency_gated,2
learnability_only,2,0.07226105963031375,10,2,reference_learnability,1,dependency_gated,2
learnability_only,3,1.3027896989486256,10,2,reference_learnability,1,dependency_gated,2
