condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,512,A09_xor2_42_32,A08_not_bit_40,0.9816994071006775
baseline,0,512,A09_xor2_42_32,A09_xor2_42_32,1.0
baseline,0,512,A09_xor2_42_32,A10_xor2_25_39,0.9779353737831116
baseline,0,512,A09_xor2_42_32,A11_xor2_14_34,0.9795851707458496
baseline,0,512,A09_xor2_42_32,C00_or_04_01,0.9823126196861267
baseline,0,512,A09_xor2_42_32,C01_or_09_02,0.970642626285553
baseline,0,512,A09_xor2_42_32,C02_and_05_09,0.9843571186065674
baseline,0,512,A09_xor2_42_32,C03_and_04_05,0.9888820052146912
baseline,0,512,A09_xor2_42_32,C04_or_09_04,0.9884196519851685
baseline,0,512,A09_xor2_42_32,C05_or_04_07,0.9854785799980164
baseline,0,512,A09_xor2_42_32,C06_and_05_09,0.9921873211860657
baseline,0,512,A09_xor2_42_32,C07_and_09_00,0.9784335494041443
baseline,0,512,A09_xor2_42_32,K00_shortcut_for_10_bit39,0.982569694519043
baseline,0,512,A09_xor2_42_32,K01_shortcut_for_09_bit45,0.9843301177024841
baseline,0,512,A09_xor2_42_32,K02_shortcut_for_07_bit11,0.9793437719345093
baseline,0,512,A09_xor2_42_32,K03_shortcut_for_07_bit23,0.9756225943565369
baseline,0,512,A09_xor2_42_32,S00_surface_xor_12_45,0.9812302589416504
baseline,0,512,A09_xor2_42_32,S01_surface_xor_25_7,0.977258026599884
baseline,0,512,A09_xor2_42_32,S02_surface_xor_35_38,0.9748076796531677
baseline,0,512,A09_xor2_42_32,S03_surface_xor_28_44,0.9944815635681152
baseline,0,512,A09_xor2_42_32,U00_xor2_35_7,0.9812734723091125
baseline,0,512,A09_xor2_42_32,U01_eq2_3_23,0.9871907234191895
baseline,0,512,A09_xor2_42_32,U02_and_bits_10_16,0.981049656867981
baseline,0,512,A09_xor2_42_32,U03_xor2_36_26,0.9886482954025269
baseline,0,512,A10_xor2_25_39,A00_not_bit_26,0.9871311783790588
baseline,0,512,A10_xor2_25_39,A01_xor2_40_1,0.9863706231117249
baseline,0,512,A10_xor2_25_39,A02_bit_1,0.984876275062561
baseline,0,512,A10_xor2_25_39,A03_and_bits_23_25,0.9856823682785034
baseline,0,512,A10_xor2_25_39,A04_not_bit_0,0.9884255528450012
baseline,0,512,A10_xor2_25_39,A05_and_bits_5_25,0.9850784540176392
baseline,0,512,A10_xor2_25_39,A06_and_bits_18_35,0.9871505498886108
baseline,0,512,A10_xor2_25_39,A07_and_bits_46_18,0.9850977659225464
baseline,0,512,A10_xor2_25_39,A08_not_bit_40,0.9880156517028809
baseline,0,512,A10_xor2_25_39,A09_xor2_42_32,0.9779351949691772
baseline,0,512,A10_xor2_25_39,A10_xor2_25_39,1.0
baseline,0,512,A10_xor2_25_39,A11_xor2_14_34,0.9836171865463257
baseline,0,512,A10_xor2_25_39,C00_or_04_01,0.9787921905517578
baseline,0,512,A10_xor2_25_39,C01_or_09_02,0.9921367168426514
baseline,0,512,A10_xor2_25_39,C02_and_05_09,0.9890938401222229
baseline,0,512,A10_xor2_25_39,C03_and_04_05,0.9880774617195129
baseline,0,512,A10_xor2_25_39,C04_or_09_04,0.9806221723556519
baseline,0,512,A10_xor2_25_39,C05_or_04_07,0.9894307255744934
baseline,0,512,A10_xor2_25_39,C06_and_05_09,0.9886649250984192
baseline,0,512,A10_xor2_25_39,C07_and_09_00,0.9782418012619019
baseline,0,512,A10_xor2_25_39,K00_shortcut_for_10_bit39,0.9831799268722534
baseline,0,512,A10_xor2_25_39,K01_shortcut_for_09_bit45,0.9878620505332947
baseline,0,512,A10_xor2_25_39,K02_shortcut_for_07_bit11,0.9860771298408508
baseline,0,512,A10_xor2_25_39,K03_shortcut_for_07_bit23,0.9907727837562561
baseline,0,512,A10_xor2_25_39,S00_surface_xor_12_45,0.9831303358078003
baseline,0,512,A10_xor2_25_39,S01_surface_xor_25_7,0.9867390990257263
baseline,0,512,A10_xor2_25_39,S02_surface_xor_35_38,0.9860161542892456
baseline,0,512,A10_xor2_25_39,S03_surface_xor_28_44,0.9780416488647461
baseline,0,512,A10_xor2_25_39,U00_xor2_35_7,0.9921966195106506
baseline,0,512,A10_xor2_25_39,U01_eq2_3_23,0.985354483127594
baseline,0,512,A10_xor2_25_39,U02_and_bits_10_16,0.9836202263832092
baseline,0,512,A10_xor2_25_39,U03_xor2_36_26,0.9886247515678406
baseline,0,512,A11_xor2_14_34,A00_not_bit_26,0.987269937992096
baseline,0,512,A11_xor2_14_34,A01_xor2_40_1,0.9836816787719727
baseline,0,512,A11_xor2_14_34,A02_bit_1,0.9843560457229614
baseline,0,512,A11_xor2_14_34,A03_and_bits_23_25,0.9911619424819946
